ID                                      0x6f59
Delivery_person_ID             INDORES010DEL01
Delivery_person_Age                  34.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.820040
Delivery_location_longitude          75.972847
Order_Date                          27-03-2022
Time_Orderd                              20:20
Time_Order_picked                        20:30
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 15296, dtype: object
