ID                                        0x80b
Delivery_person_ID               PUNERES17DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   18.530963
Restaurant_longitude                  73.828972
Delivery_location_latitude            18.570963
Delivery_location_longitude           73.868972
Order_Date                           17-03-2022
Time_Orderd                               13:60
Time_Order_picked                         14:10
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 21055, dtype: object
