ID                                     0x5e0a
Delivery_person_ID             BANGRES03DEL01
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 12.979166
Restaurant_longitude                77.640709
Delivery_location_latitude          13.089166
Delivery_location_longitude         77.750709
Order_Date                         08-03-2022
Time_Orderd                             19:20
Time_Order_picked                       19:25
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    16.000000
Name: 17016, dtype: object
