ID                                      0x43ad
Delivery_person_ID             COIMBRES11DEL01
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.071753
Delivery_location_longitude          77.056241
Order_Date                          02-03-2022
Time_Orderd                              20:40
Time_Order_picked                        20:50
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     33.000000
Name: 11590, dtype: object
