ID                                    0xbf0a
Delivery_person_ID             AGRRES07DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -27.160934
Restaurant_longitude              -78.044095
Delivery_location_latitude         27.180934
Delivery_location_longitude        78.064095
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                       9:30
Weather conditions                       NaN
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   29.000000
Name: 11154, dtype: object
