ID                                       0xb294
Delivery_person_ID              COIMBRES08DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   11.001852
Restaurant_longitude                  76.976268
Delivery_location_latitude            11.021852
Delivery_location_longitude           76.996268
Order_Date                           30-03-2022
Time_Orderd                                9:10
Time_Order_picked                          9:25
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 41324, dtype: object
