ID                                    0x2bcb
Delivery_person_ID             MYSRES11DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                12.323225
Restaurant_longitude               76.630028
Delivery_location_latitude         12.433225
Delivery_location_longitude        76.740028
Order_Date                        04-04-2022
Time_Orderd                            22:45
Time_Order_picked                      22:60
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 40916, dtype: object
