ID                                    0xbf65
Delivery_person_ID             KNPRES17DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.483042
Restaurant_longitude               80.317833
Delivery_location_latitude         26.613042
Delivery_location_longitude        80.447833
Order_Date                        12-02-2022
Time_Orderd                            19:50
Time_Order_picked                      19:60
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 36620, dtype: object
