ID                                       0x4ca1
Delivery_person_ID             RANCHIRES16DEL03
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.371292
Restaurant_longitude                  85.327872
Delivery_location_latitude            23.401292
Delivery_location_longitude           85.357872
Order_Date                           28-03-2022
Time_Orderd                               18:45
Time_Order_picked                         18:55
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      14.000000
Name: 33921, dtype: object
