ID                                    0xccf4
Delivery_person_ID             DEHRES12DEL02
Delivery_person_Age                    35.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.08
Delivery_location_longitude             0.08
Order_Date                        14-02-2022
Time_Orderd                            21:60
Time_Order_picked                      22:10
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       42.00
Name: 28533, dtype: object
