ID                                    0x2eac
Delivery_person_ID             VADRES18DEL03
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.09
Delivery_location_longitude             0.09
Order_Date                        14-03-2022
Time_Orderd                            20:35
Time_Order_picked                      20:50
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                     3.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       44.00
Name: 228, dtype: object
