ID                                    0xbb16
Delivery_person_ID             HYDRES03DEL03
Delivery_person_Age                32.000000
Delivery_person_Ratings             3.600000
Restaurant_latitude                17.422819
Restaurant_longitude               78.449578
Delivery_location_latitude         17.512819
Delivery_location_longitude        78.539578
Order_Date                        27-03-2022
Time_Orderd                            20:35
Time_Order_picked                      20:45
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 28477, dtype: object
