ID                                       0x378d
Delivery_person_ID             RANCHIRES07DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.399407
Delivery_location_longitude           85.365055
Order_Date                           05-03-2022
Time_Orderd                               14:45
Time_Order_picked                         14:55
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      30.000000
Name: 44023, dtype: object
