ID                                       0xb9e0
Delivery_person_ID               PUNERES16DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   18.536718
Restaurant_longitude                  73.830327
Delivery_location_latitude            18.566719
Delivery_location_longitude           73.860327
Order_Date                           24-03-2022
Time_Orderd                               18:40
Time_Order_picked                         18:50
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 4211, dtype: object
