ID                                     0xc0b2
Delivery_person_ID             AURGRES07DEL03
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                -19.875908
Restaurant_longitude                75.358888
Delivery_location_latitude          19.935908
Delivery_location_longitude         75.418888
Order_Date                         13-02-2022
Time_Orderd                             17:15
Time_Order_picked                       17:20
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 42201, dtype: object
