ID                                    0xdefd
Delivery_person_ID             KOCRES14DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                10.027014
Restaurant_longitude               76.308053
Delivery_location_latitude         10.067014
Delivery_location_longitude        76.348053
Order_Date                        15-02-2022
Time_Orderd                            16:35
Time_Order_picked                      16:45
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   15.000000
Name: 37088, dtype: object
