ID                                    0xb7d1
Delivery_person_ID             SURRES04DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                21.173493
Restaurant_longitude               72.801953
Delivery_location_latitude         21.213493
Delivery_location_longitude        72.841953
Order_Date                        26-03-2022
Time_Orderd                            13:30
Time_Order_picked                      13:45
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 35637, dtype: object
