ID                                       0xbef9
Delivery_person_ID                KNPRES03DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   26.469003
Restaurant_longitude                  80.316344
Delivery_location_latitude            26.489003
Delivery_location_longitude           80.336344
Order_Date                           11-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         10:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 6224, dtype: object
