ID                                     0xca89
Delivery_person_ID             LUDHRES15DEL02
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.899584
Restaurant_longitude                75.809346
Delivery_location_latitude          30.919584
Delivery_location_longitude         75.829346
Order_Date                         17-02-2022
Time_Orderd                             10:15
Time_Order_picked                       10:30
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 7228, dtype: object
