ID                                    0xc7d1
Delivery_person_ID             KNPRES20DEL01
Delivery_person_Age                    32.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.48
Delivery_location_longitude            80.36
Order_Date                        15-02-2022
Time_Orderd                             8:50
Time_Order_picked                       9:05
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       22.00
Name: 23764, dtype: object
