ID                                       0x771d
Delivery_person_ID               BANGRES15DEL03
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.975377
Restaurant_longitude                  77.696664
Delivery_location_latitude            13.005377
Delivery_location_longitude           77.726664
Order_Date                           03-03-2022
Time_Orderd                               17:20
Time_Order_picked                         17:30
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      24.000000
Name: 40344, dtype: object
