ID                                        0xe4e
Delivery_person_ID                HYDRES18DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   17.450851
Restaurant_longitude                  78.379347
Delivery_location_latitude            17.530851
Delivery_location_longitude           78.459347
Order_Date                           08-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:30
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 2568, dtype: object
