ID                                    0x6cbf
Delivery_person_ID             MYSRES13DEL03
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                12.310972
Restaurant_longitude               76.659264
Delivery_location_latitude         12.340972
Delivery_location_longitude        76.689264
Order_Date                        11-03-2022
Time_Orderd                            23:60
Time_Order_picked                      24:15
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   10.000000
Name: 14862, dtype: object
