ID                                        0x56c
Delivery_person_ID             RANCHIRES13DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.434989
Delivery_location_longitude           85.395486
Order_Date                           17-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         20:50
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 13547, dtype: object
