ID                                       0x8d2a
Delivery_person_ID                SURRES06DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   21.185047
Restaurant_longitude                  72.808590
Delivery_location_latitude            21.255047
Delivery_location_longitude           72.878590
Order_Date                           10-03-2022
Time_Orderd                               17:30
Time_Order_picked                         17:35
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 3933, dtype: object
