ID                                       0xc2c6
Delivery_person_ID               LUDHRES06DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   30.895204
Restaurant_longitude                  75.822103
Delivery_location_latitude            31.035204
Delivery_location_longitude           75.962103
Order_Date                           16-02-2022
Time_Orderd                               20:60
Time_Order_picked                         21:05
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 14580, dtype: object
