ID                                      0xbd5e
Delivery_person_ID             COIMBRES06DEL02
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.151278
Delivery_location_longitude          77.125017
Order_Date                          04-03-2022
Time_Orderd                              17:25
Time_Order_picked                        17:40
Weather conditions                       Sunny
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 14942, dtype: object
