ID                                      0x9d77
Delivery_person_ID             COIMBRES11DEL03
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.091753
Delivery_location_longitude          77.076241
Order_Date                          14-03-2022
Time_Orderd                              19:35
Time_Order_picked                        19:50
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     37.000000
Name: 4607, dtype: object
