ID                                      0xbb68
Delivery_person_ID             COIMBRES01DEL01
Delivery_person_Age                  33.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.086298
Delivery_location_longitude          77.042076
Order_Date                          27-03-2022
Time_Orderd                              23:50
Time_Order_picked                        23:60
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 40795, dtype: object
