ID                                      0x6fa4
Delivery_person_ID             COIMBRES15DEL01
Delivery_person_Age                  23.000000
Delivery_person_Ratings               2.700000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.116686
Delivery_location_longitude          77.061736
Order_Date                          10-03-2022
Time_Orderd                              23:60
Time_Order_picked                        24:10
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     37.000000
Name: 18554, dtype: object
