ID                                       0xa65c
Delivery_person_ID             RANCHIRES06DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                3.900000
Restaurant_latitude                   23.357804
Restaurant_longitude                  85.325146
Delivery_location_latitude            23.427804
Delivery_location_longitude           85.395146
Order_Date                           04-04-2022
Time_Orderd                               21:25
Time_Order_picked                         21:30
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      41.000000
Name: 5154, dtype: object
