ID                                       0x4e62
Delivery_person_ID             RANCHIRES19DEL02
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.383017
Delivery_location_longitude           85.367200
Order_Date                           01-03-2022
Time_Orderd                               21:45
Time_Order_picked                         21:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 6106, dtype: object
