ID                                     0x9fbe
Delivery_person_ID             INDORES20DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.732225
Restaurant_longitude                75.874765
Delivery_location_latitude          22.752225
Delivery_location_longitude         75.894765
Order_Date                         07-03-2022
Time_Orderd                              9:55
Time_Order_picked                        9:60
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 33418, dtype: object
