ID                                    0x9bf5
Delivery_person_ID             SURRES20DEL01
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                21.152760
Restaurant_longitude               72.778059
Delivery_location_latitude         21.162760
Delivery_location_longitude        72.788059
Order_Date                        17-03-2022
Time_Orderd                            10:30
Time_Order_picked                      10:45
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   15.000000
Name: 6194, dtype: object
