ID                                      0x7ef2
Delivery_person_ID             COIMBRES18DEL02
Delivery_person_Age                  36.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.100910
Delivery_location_longitude          77.020432
Order_Date                          25-03-2022
Time_Orderd                              19:35
Time_Order_picked                        19:50
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 35054, dtype: object
