ID                                       0xbda9
Delivery_person_ID             RANCHIRES02DEL01
Delivery_person_Age                       35.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           11-03-2022
Time_Orderd                                8:25
Time_Order_picked                          8:30
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          19.00
Name: 37562, dtype: object
