ID                                    0x8fc3
Delivery_person_ID             JAPRES16DEL03
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.849596
Restaurant_longitude               75.800512
Delivery_location_latitude         26.989596
Delivery_location_longitude        75.940512
Order_Date                        02-03-2022
Time_Orderd                            19:60
Time_Order_picked                      20:05
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   48.000000
Name: 11019, dtype: object
