ID                                       0x65ac
Delivery_person_ID                VADRES05DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.310526
Restaurant_longitude                  73.170937
Delivery_location_latitude            22.350526
Delivery_location_longitude           73.210937
Order_Date                           28-03-2022
Time_Orderd                               16:35
Time_Order_picked                         16:45
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 27630, dtype: object
