ID                                    0x1dd7
Delivery_person_ID             MUMRES09DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                18.994049
Restaurant_longitude               72.825203
Delivery_location_latitude         19.014049
Delivery_location_longitude        72.845203
Order_Date                        13-03-2022
Time_Orderd                             9:30
Time_Order_picked                       9:40
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 18123, dtype: object
