ID                                     0xdf9a
Delivery_person_ID             AURGRES20DEL02
Delivery_person_Age                     28.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.13
Delivery_location_longitude              0.13
Order_Date                         12-02-2022
Time_Orderd                             20:60
Time_Order_picked                       21:05
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                                    Urban
Time_taken (min)                        21.00
Name: 37123, dtype: object
