ID                                       0xa24c
Delivery_person_ID                SURRES16DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   21.160437
Restaurant_longitude                  72.774209
Delivery_location_latitude            21.180437
Delivery_location_longitude           72.794209
Order_Date                           11-03-2022
Time_Orderd                                9:20
Time_Order_picked                          9:35
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 27647, dtype: object
