ID                                     0x3f7e
Delivery_person_ID             PUNERES08DEL02
Delivery_person_Age                  26.00000
Delivery_person_Ratings               4.80000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.61408
Delivery_location_longitude          73.97852
Order_Date                         18-03-2022
Time_Orderd                             17:35
Time_Order_picked                       17:40
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                                    Urban
Time_taken (min)                     32.00000
Name: 44625, dtype: object
