ID                                       0x5a5d
Delivery_person_ID             RANCHIRES03DEL02
Delivery_person_Age                       31.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           07-03-2022
Time_Orderd                               10:60
Time_Order_picked                         11:10
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          16.00
Name: 10490, dtype: object
