ID                                       0x1ce3
Delivery_person_ID             RANCHIRES03DEL01
Delivery_person_Age                       33.00
Delivery_person_Ratings                    4.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           30-03-2022
Time_Orderd                               14:15
Time_Order_picked                         14:25
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          33.00
Name: 13299, dtype: object
