ID                                      0x1ff5
Delivery_person_ID             COIMBRES14DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.053681
Delivery_location_longitude          77.025525
Order_Date                          17-03-2022
Time_Orderd                              17:35
Time_Order_picked                        17:40
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     20.000000
Name: 30113, dtype: object
