ID                                       0x2fb5
Delivery_person_ID              COIMBRES04DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   11.024839
Restaurant_longitude                  77.007003
Delivery_location_latitude            11.104839
Delivery_location_longitude           77.087003
Order_Date                           29-03-2022
Time_Orderd                               21:15
Time_Order_picked                         21:30
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 30428, dtype: object
