ID                                     0x9ddd
Delivery_person_ID             PUNERES08DEL02
Delivery_person_Age                  25.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.58408
Delivery_location_longitude          73.94852
Order_Date                         21-03-2022
Time_Orderd                             18:40
Time_Order_picked                       18:55
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                   0.00000
Festival                                   No
City                                    Urban
Time_taken (min)                     10.00000
Name: 3552, dtype: object
