ID                                     0x1fb6
Delivery_person_ID             BANGRES15DEL03
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.975377
Restaurant_longitude                77.696664
Delivery_location_latitude          13.035377
Delivery_location_longitude         77.756664
Order_Date                         30-03-2022
Time_Orderd                             17:55
Time_Order_picked                       17:60
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                  NaN
City                            Metropolitian
Time_taken (min)                    13.000000
Name: 9364, dtype: object
