ID                                       0x2ca1
Delivery_person_ID               BANGRES07DEL03
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.978453
Restaurant_longitude                  77.643685
Delivery_location_latitude            13.038453
Delivery_location_longitude           77.703685
Order_Date                           05-03-2022
Time_Orderd                               23:60
Time_Order_picked                         24:05
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      14.000000
Name: 14917, dtype: object
