ID                                    0xd6fb
Delivery_person_ID             KNPRES14DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                26.463504
Restaurant_longitude               80.372929
Delivery_location_latitude         26.503504
Delivery_location_longitude        80.412929
Order_Date                        13-02-2022
Time_Orderd                            12:45
Time_Order_picked                      12:50
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 11453, dtype: object
