ID                                    0x3c9c
Delivery_person_ID             VADRES12DEL01
Delivery_person_Age                    27.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.04
Delivery_location_longitude             0.04
Order_Date                        28-03-2022
Time_Orderd                            16:50
Time_Order_picked                      17:05
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       16.00
Name: 36650, dtype: object
