ID                                       0x9bd7
Delivery_person_ID             RANCHIRES08DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.353783
Restaurant_longitude                  85.326967
Delivery_location_latitude            23.373783
Delivery_location_longitude           85.346967
Order_Date                           28-03-2022
Time_Orderd                               11:10
Time_Order_picked                         11:25
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      34.000000
Name: 25093, dtype: object
