ID                                       0xdbcf
Delivery_person_ID                KNPRES15DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.482419
Restaurant_longitude                  80.320939
Delivery_location_latitude            26.612419
Delivery_location_longitude           80.450939
Order_Date                           12-02-2022
Time_Orderd                               19:50
Time_Order_picked                         19:60
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 22611, dtype: object
