ID                                      0x2e3e
Delivery_person_ID             PUNERES010DEL02
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.619299
Delivery_location_longitude          73.977902
Order_Date                          23-03-2022
Time_Orderd                              19:60
Time_Order_picked                        20:15
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     27.000000
Name: 183, dtype: object
