ID                                       0x6bd6
Delivery_person_ID                VADRES19DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.311844
Restaurant_longitude                  73.165081
Delivery_location_latitude            22.361844
Delivery_location_longitude           73.215081
Order_Date                           01-03-2022
Time_Orderd                               22:20
Time_Order_picked                         22:30
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 17220, dtype: object
