ID                                    0xcba1
Delivery_person_ID             KNPRES20DEL03
Delivery_person_Age                    24.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.50
Delivery_location_longitude            80.38
Order_Date                        11-02-2022
Time_Orderd                            22:40
Time_Order_picked                      22:50
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       22.00
Name: 35863, dtype: object
