ID                                      0x22fd
Delivery_person_ID             COIMBRES13DEL01
Delivery_person_Age                  35.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.013669
Delivery_location_longitude          76.986494
Order_Date                          24-03-2022
Time_Orderd                               8:10
Time_Order_picked                         8:25
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     23.000000
Name: 40016, dtype: object
