ID                                    0x8ef5
Delivery_person_ID             VADRES03DEL02
Delivery_person_Age                    26.00
Delivery_person_Ratings                 4.90
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.40
Delivery_location_longitude            73.25
Order_Date                        20-03-2022
Time_Orderd                            21:45
Time_Order_picked                      21:50
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       36.00
Name: 27503, dtype: object
