ID                                       0x2f17
Delivery_person_ID             RANCHIRES03DEL03
Delivery_person_Age                       25.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.03
Delivery_location_longitude                0.03
Order_Date                           05-04-2022
Time_Orderd                               21:60
Time_Order_picked                         22:10
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          32.00
Name: 30286, dtype: object
