ID                                       0x67cc
Delivery_person_ID             RANCHIRES01DEL03
Delivery_person_Age                   36.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   23.416792
Restaurant_longitude                  85.316842
Delivery_location_latitude            23.506792
Delivery_location_longitude           85.406842
Order_Date                           06-04-2022
Time_Orderd                               19:20
Time_Order_picked                         19:30
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 14877, dtype: object
