ID                                     0xa0eb
Delivery_person_ID             BANGRES05DEL01
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 12.970324
Restaurant_longitude                77.645748
Delivery_location_latitude          12.980324
Delivery_location_longitude         77.655748
Order_Date                         09-03-2022
Time_Orderd                             10:30
Time_Order_picked                       10:35
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  NaN
City                                    Urban
Time_taken (min)                    14.000000
Name: 20699, dtype: object
