ID                                     0xeb0
Delivery_person_ID             SURRES15DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                21.160522
Restaurant_longitude               72.771477
Delivery_location_latitude         21.290522
Delivery_location_longitude        72.901477
Order_Date                        29-03-2022
Time_Orderd                            17:60
Time_Order_picked                      18:10
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   31.000000
Name: 4102, dtype: object
