ID                                    0xa75a
Delivery_person_ID             MUMRES07DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                19.091458
Restaurant_longitude               72.827808
Delivery_location_latitude         19.101458
Delivery_location_longitude        72.837808
Order_Date                        13-03-2022
Time_Orderd                            11:60
Time_Order_picked                      12:05
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 27234, dtype: object
