ID                                     0x4ea8
Delivery_person_ID             INDORES07DEL03
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 22.722634
Restaurant_longitude                75.886959
Delivery_location_latitude          22.782634
Delivery_location_longitude         75.946959
Order_Date                         05-03-2022
Time_Orderd                             23:55
Time_Order_picked                       24:10
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 7191, dtype: object
